    0.0518    0.7255
    0.0518    0.6766
    0.0518    0.6416
    0.0518    0.6136
    0.0492    0.5437
    0.0543    0.4878
    0.0518    0.4248
    0.0518    0.3479
    0.0568    0.3269
    0.0619    0.3024
    0.0846    0.2500
    0.1174    0.2255
    0.1679    0.2010
    0.1982    0.1976
    0.2184    0.2220
    0.2361    0.2605
    0.2462    0.2920
    0.2614    0.3409
    0.2588    0.3829
    0.2664    0.4598
    0.2639    0.5612
    0.2588    0.6136
    0.2563    0.6801
    0.2563    0.7430
    0.2538    0.6836
    0.2588    0.6556
    0.2614    0.6311
    0.2614    0.5822
    0.2614    0.5472
    0.2614    0.5192
    0.2614    0.4773
    0.2664    0.5122
    0.2664    0.7290
    0.2715    0.5822
    0.2664    0.5227
    0.2639    0.4633
    0.2639    0.4423
    0.2639    0.3934
    0.2563    0.3304
    0.2563    0.2850
    0.2412    0.2430
    0.2260    0.2185
    0.2109    0.2045
    0.1604    0.2150
    0.1326    0.2115
    0.0997    0.2360
    0.0871    0.2675
    0.0669    0.3199
    0.0619    0.3409
    0.0568    0.3724
    0.0543    0.4073
    0.0518    0.4493
    0.0492    0.5122
    0.0492    0.5577
    0.0467    0.5892
    0.0467    0.6171
    0.0467    0.6836
    0.0543    0.7220
    0.5543    0.6171
    0.5316    0.6556
    0.5215    0.6766
    0.4886    0.7115
    0.4684    0.7150
    0.4280    0.7185
    0.4003    0.6696
    0.3876    0.6031
    0.3826    0.4843
    0.3902    0.4178
    0.3977    0.3689
    0.4028    0.3234
    0.4003    0.2675
    0.4028    0.2325
    0.4255    0.2115
    0.5038    0.1976
    0.5189    0.2045
    0.5391    0.2290
    0.5341    0.2605
    0.5543    0.2955
    0.5694    0.3059
    0.5997    0.3444
    0.5947    0.2990
    0.5821    0.2710
    0.5619    0.2430
    0.5543    0.2150
    0.4937    0.1801
    0.4684    0.1871
    0.4609    0.2080
    0.4179    0.2185
    0.3977    0.2290
    0.3699    0.2710
    0.3902    0.3304
    0.4003    0.3619
    0.3851    0.2920
    0.3826    0.4248
    0.3851    0.4563
    0.3674    0.5262
    0.3750    0.5472
    0.3902    0.6311
    0.4104    0.6801
    0.4306    0.7185
    0.4684    0.7045
    0.4836    0.6766
    0.5240    0.6696
    0.5442    0.6241
    0.5543    0.6521
    0.5492    0.6731
    0.4987    0.7185
    0.4457    0.7500
    0.3927    0.6906
    0.3699    0.6241
    0.3750    0.5997
    0.6755    0.7080
    0.6780    0.6416
    0.6831    0.7010
    0.6806    0.6731
    0.6755    0.6241
    0.6755    0.5822
    0.6780    0.5577
    0.6780    0.5122
    0.6780    0.4563
    0.6780    0.4283
    0.6806    0.3934
    0.6806    0.3584
    0.6780    0.3339
    0.6907    0.2745
    0.6932    0.2465
    0.6881    0.2815
    0.6881    0.3129
    0.6856    0.2640
    0.6856    0.2220
    0.6831    0.3864
    0.6831    0.4598
    0.6831    0.4948
    0.6730    0.5402
    0.6730    0.5752
    0.6730    0.6486
    0.6730    0.5857
    0.6780    0.6206
    0.6806    0.5997
    0.6806    0.2290
    0.6932    0.2045
    0.6957    0.1626
    0.7235    0.1661
    0.7386    0.1626
    0.7109    0.1766
    0.7361    0.1731
    0.7765    0.1626
    0.8018    0.1556
    0.8220    0.1556
    0.8422    0.1626
    0.8422    0.1871
    0.7891    0.1871
    0.7614    0.1871
    0.8169    0.1591
    0.8018    0.1871
    0.8371    0.1906
    0.7790    0.1941
    0.7992    0.1941
    0.8144    0.1941
